"year","length","budget","votes","genre","rating","is_high_rating","is_high_rating_factor","log_votes"
2003,97,10.7,43,"Action",4.2,0,"Poor (<=7)",3.78418963391826
2001,70,14.5,48,"Drama",3.6,0,"Poor (<=7)",3.89182029811063
1969,107,10.8,61,"Action",4.2,0,"Poor (<=7)",4.12713438504509
1977,93,11,50,"Comedy",7.5,1,"Good (>7)",3.93182563272433
2002,28,13.1,8,"Documentary",8.1,1,"Good (>7)",2.19722457733622
1994,75,10.7,16,"Comedy",8.3,1,"Good (>7)",2.83321334405622
1994,109,8.2,435,"Documentary",5.7,0,"Poor (<=7)",6.07764224334903
2000,110,9.1,1440,"Comedy",4.8,0,"Poor (<=7)",7.27309259599952
1958,85,12.5,25,"Comedy",7.7,1,"Good (>7)",3.25809653802148
1960,80,13.7,69,"Action",3.8,0,"Poor (<=7)",4.24849524204936
1966,91,12.6,829,"Action",2.6,0,"Poor (<=7)",6.72142570079064
1996,106,12.4,16,"Action",5.3,0,"Poor (<=7)",2.83321334405622
1985,97,11.8,5022,"Comedy",8.2,1,"Good (>7)",8.52178264375005
1989,47,14.1,27,"Action",4.6,0,"Poor (<=7)",3.3322045101752
1973,99,14.5,46,"Drama",2.8,0,"Poor (<=7)",3.85014760171006
2001,87,5.4,37,"Drama",4,0,"Poor (<=7)",3.63758615972639
1999,93,10.1,404,"Comedy",3.9,0,"Poor (<=7)",6.00388706710654
1960,94,16,10,"Comedy",8.5,1,"Good (>7)",2.39789527279837
1993,90,12.5,23,"Action",3.7,0,"Poor (<=7)",3.17805383034795
1984,95,15.8,16,"Drama",3.8,0,"Poor (<=7)",2.83321334405622
1979,100,14.3,6,"Drama",4,0,"Poor (<=7)",1.94591014905531
1999,190,13.9,13,"Drama",4.3,0,"Poor (<=7)",2.63905732961526
1956,98,18.7,6736,"Drama",3.9,0,"Poor (<=7)",8.81537000096066
1970,93,9.9,8,"Comedy",5.2,0,"Poor (<=7)",2.19722457733622
2004,100,15.2,23,"Comedy",7.7,1,"Good (>7)",3.17805383034795
1964,118,9.5,1575,"Comedy",4,0,"Poor (<=7)",7.36264527041782
1993,112,11.5,15,"Action",4.2,0,"Poor (<=7)",2.77258872223978
2002,90,10.5,41,"Action",3.7,0,"Poor (<=7)",3.73766961828337
2002,62,13,11,"Documentary",7.9,1,"Good (>7)",2.484906649788
1989,98,6.6,12,"Drama",3.2,0,"Poor (<=7)",2.56494935746154
1939,112,11.4,72,"Drama",4.5,0,"Poor (<=7)",4.29045944114839
1976,87,8.5,34,"Action",8.2,1,"Good (>7)",3.55534806148941
2001,5,13.7,8,"Short",7.7,1,"Good (>7)",2.19722457733622
1998,19,14.2,46,"Comedy",7.4,1,"Good (>7)",3.85014760171006
1972,76,15.9,15,"Drama",3.1,0,"Poor (<=7)",2.77258872223978
2002,96,11,27,"Drama",3.9,0,"Poor (<=7)",3.3322045101752
2002,94,7.8,8,"Action",4.6,0,"Poor (<=7)",2.19722457733622
1999,114,13.3,17,"Action",3.9,0,"Poor (<=7)",2.89037175789616
1992,45,9.2,10,"Action",7.6,1,"Good (>7)",2.39789527279837
1951,7,14.9,15,"Animation",7.8,1,"Good (>7)",2.77258872223978
1961,77,9.2,95,"Drama",4.6,0,"Poor (<=7)",4.56434819146784
1958,101,9.6,164,"Action",5.6,0,"Poor (<=7)",5.10594547390058
2003,3,10.4,26,"Animation",8,1,"Good (>7)",3.29583686600433
1965,92,9.4,302,"Action",8.6,1,"Good (>7)",5.71373280550937
2000,85,9.8,8,"Comedy",8.8,1,"Good (>7)",2.19722457733622
1933,114,10.5,12,"Drama",3.5,0,"Poor (<=7)",2.56494935746154
2004,9,14,10,"Short",8.3,1,"Good (>7)",2.39789527279837
1958,7,15.2,26,"Animation",8.3,1,"Good (>7)",3.29583686600433
2000,14,12,6,"Drama",7.5,1,"Good (>7)",1.94591014905531
1944,95,10.2,8,"Action",4.9,0,"Poor (<=7)",2.19722457733622
1990,94,12.5,29,"Drama",4.2,0,"Poor (<=7)",3.40119738166216
1968,91,8.4,11,"Action",4.1,0,"Poor (<=7)",2.484906649788
1978,82,14.9,19,"Action",5,0,"Poor (<=7)",2.99573227355399
1989,88,10.6,8,"Drama",2.8,0,"Poor (<=7)",2.19722457733622
1969,89,11.7,17,"Drama",3.4,0,"Poor (<=7)",2.89037175789616
1989,40,11.8,23,"Short",7.9,1,"Good (>7)",3.17805383034795
1953,70,11.4,17,"Action",3.4,0,"Poor (<=7)",2.89037175789616
1998,87,14.8,17,"Comedy",7.8,1,"Good (>7)",2.89037175789616
1995,14,9.5,8,"Short",7.9,1,"Good (>7)",2.19722457733622
1988,125,14.1,107,"Comedy",8.1,1,"Good (>7)",4.68213122712422
2003,90,11.4,23,"Comedy",8.1,1,"Good (>7)",3.17805383034795
1975,108,14.5,154,"Action",7.7,1,"Good (>7)",5.04342511691925
1930,67,14.9,16,"Action",3.8,0,"Poor (<=7)",2.83321334405622
2003,12,11.1,12,"Comedy",8.1,1,"Good (>7)",2.56494935746154
1942,9,10.4,6,"Documentary",7.9,1,"Good (>7)",1.94591014905531
2001,92,16.9,14,"Comedy",8.3,1,"Good (>7)",2.70805020110221
1997,112,14.7,16,"Action",3.3,0,"Poor (<=7)",2.83321334405622
2000,108,13.5,3131,"Comedy",5.1,0,"Poor (<=7)",8.0494270571107
1990,82,11.9,1253,"Comedy",5.3,0,"Poor (<=7)",7.13409372119287
1936,60,16.2,20,"Action",7.8,1,"Good (>7)",3.04452243772342
1983,110,11.8,20,"Drama",3.8,0,"Poor (<=7)",3.04452243772342
2000,105,12.1,204,"Documentary",8.2,1,"Good (>7)",5.32300997913841
1990,83,13,12,"Action",4.5,0,"Poor (<=7)",2.56494935746154
1988,99,10.2,18,"Action",3.5,0,"Poor (<=7)",2.94443897916644
1974,153,10.1,20,"Drama",5.7,0,"Poor (<=7)",3.04452243772342
1951,81,16.2,66,"Action",4.3,0,"Poor (<=7)",4.20469261939097
1976,91,8.7,5,"Action",3.1,0,"Poor (<=7)",1.79175946922805
1957,88,14.3,33,"Action",3.8,0,"Poor (<=7)",3.52636052461616
2002,2,13.7,18,"Comedy",8.3,1,"Good (>7)",2.94443897916644
1999,147,10.2,22,"Drama",4.1,0,"Poor (<=7)",3.13549421592915
2000,122,12.4,4746,"Drama",3.2,0,"Poor (<=7)",8.46526811855132
1997,82,12.6,131,"Comedy",7.6,1,"Good (>7)",4.88280192258637
1941,119,13.4,732,"Drama",3.1,0,"Poor (<=7)",6.59714570188665
1993,95,12.5,2478,"Comedy",8.3,1,"Good (>7)",7.81561053203519
1975,94,12.4,40,"Drama",2.8,0,"Poor (<=7)",3.71357206670431
1962,80,11.6,19,"Drama",2.6,0,"Poor (<=7)",2.99573227355399
2003,89,12.6,206,"Comedy",2.3,0,"Poor (<=7)",5.33271879326537
1997,91,13.6,6,"Romance",0.8,0,"Poor (<=7)",1.94591014905531
2002,17,14.9,7,"Short",7.8,1,"Good (>7)",2.07944154167984
2003,21,15.5,20,"Short",8.8,1,"Good (>7)",3.04452243772342
1962,85,13,16,"Drama",4.2,0,"Poor (<=7)",2.83321334405622
1982,85,6.5,37,"Drama",5.2,0,"Poor (<=7)",3.63758615972639
2001,7,14.7,13,"Animation",3.1,0,"Poor (<=7)",2.63905732961526
1963,88,10.4,42,"Comedy",4.6,0,"Poor (<=7)",3.76120011569356
1933,8,11.1,16,"Animation",7.7,1,"Good (>7)",2.83321334405622
1999,15,11.4,76,"Drama",8.4,1,"Good (>7)",4.34380542185368
1988,95,11.7,12,"Comedy",7.6,1,"Good (>7)",2.56494935746154
1973,90,14.9,33,"Action",4.2,0,"Poor (<=7)",3.52636052461616
1939,55,10.5,9,"Action",4.5,0,"Poor (<=7)",2.30258509299405
1980,93,12.6,140,"Action",3.8,0,"Poor (<=7)",4.94875989037817
1954,171,10.2,55,"Drama",5.2,0,"Poor (<=7)",4.02535169073515
2000,15,16.1,6,"Short",8,1,"Good (>7)",1.94591014905531
2004,85,7.8,58,"Comedy",4,0,"Poor (<=7)",4.07753744390572
1964,106,10.8,280,"Drama",2.8,0,"Poor (<=7)",5.63835466933375
2002,93,14.8,3324,"Drama",4.4,0,"Poor (<=7)",8.10922495308995
1972,86,17.2,125,"Action",8.8,1,"Good (>7)",4.83628190695148
1982,84,6.1,3983,"Comedy",4.7,0,"Poor (<=7)",8.29004161870449
1990,93,9.2,10,"Drama",4.5,0,"Poor (<=7)",2.39789527279837
1971,84,11.5,8,"Comedy",7.1,1,"Good (>7)",2.19722457733622
1980,10,6.6,14,"Documentary",8,1,"Good (>7)",2.70805020110221
2001,80,9.4,94,"Comedy",4.3,0,"Poor (<=7)",4.55387689160054
1993,100,14.9,681,"Comedy",8.5,1,"Good (>7)",6.52502965784346
2003,105,11.4,1295,"Drama",4.5,0,"Poor (<=7)",7.16703787691222
1968,107,13.9,56,"Drama",4.6,0,"Poor (<=7)",4.04305126783455
1934,52,9.3,5,"Action",3.5,0,"Poor (<=7)",1.79175946922805
1959,149,12.8,1197,"Drama",1.2,0,"Poor (<=7)",7.0884087786754
2001,97,14.5,207,"Drama",2.5,0,"Poor (<=7)",5.33753807970132
1948,120,12.9,148,"Comedy",8.2,1,"Good (>7)",5.00394630594546
2002,8,10.5,36,"Short",8,1,"Good (>7)",3.61091791264422
1970,106,10.3,136,"Drama",3.4,0,"Poor (<=7)",4.91998092582813
1969,110,11.1,13,"Drama",2.2,0,"Poor (<=7)",2.63905732961526
1980,105,20.3,50,"Comedy",7.9,1,"Good (>7)",3.93182563272433
1961,95,9.8,17,"Action",5.1,0,"Poor (<=7)",2.89037175789616
1999,20,12,56,"Short",8.4,1,"Good (>7)",4.04305126783455
1918,80,10,5,"Drama",4.5,0,"Poor (<=7)",1.79175946922805
1981,90,6.9,10,"Documentary",2.5,0,"Poor (<=7)",2.39789527279837
1958,100,15.6,21,"Drama",2.2,0,"Poor (<=7)",3.09104245335832
1921,93,12.6,72,"Action",6.4,0,"Poor (<=7)",4.29045944114839
2002,82,11.6,34,"Drama",2.9,0,"Poor (<=7)",3.55534806148941
1955,82,10.1,16,"Drama",4.7,0,"Poor (<=7)",2.83321334405622
2002,96,10.5,56,"Comedy",8.2,1,"Good (>7)",4.04305126783455
1996,110,14.5,10,"Action",5,0,"Poor (<=7)",2.39789527279837
1932,66,14.6,29,"Comedy",8.4,1,"Good (>7)",3.40119738166216
1956,92,16.7,66,"Drama",3.7,0,"Poor (<=7)",4.20469261939097
1969,81,13.2,18,"Action",3,0,"Poor (<=7)",2.94443897916644
1940,110,9.2,87,"Comedy",4.3,0,"Poor (<=7)",4.47733681447821
1997,12,13.8,38,"Animation",2.5,0,"Poor (<=7)",3.66356164612965
2001,81,9.9,7,"Drama",2.5,0,"Poor (<=7)",2.07944154167984
1959,81,12.5,36,"Action",2.9,0,"Poor (<=7)",3.61091791264422
1988,81,9.5,8,"Drama",3.1,0,"Poor (<=7)",2.19722457733622
1987,98,8,55,"Action",3.6,0,"Poor (<=7)",4.02535169073515
1954,83,15.4,10,"Action",5,0,"Poor (<=7)",2.39789527279837
2003,88,13,596,"Documentary",7.2,1,"Good (>7)",6.3919171133926
2004,170,11.4,16217,"Drama",4.6,0,"Poor (<=7)",9.6938770155045
2001,123,11.4,109,"Comedy",7.8,1,"Good (>7)",4.70048036579242
2004,6,18,5,"Short",8.5,1,"Good (>7)",1.79175946922805
1984,21,10.9,12,"Documentary",8.1,1,"Good (>7)",2.56494935746154
1994,116,9,32979,"Action",2,0,"Poor (<=7)",10.4036565961136
1976,100,12.8,9,"Comedy",7.9,1,"Good (>7)",2.30258509299405
1976,30,10.7,5,"Documentary",8.1,1,"Good (>7)",1.79175946922805
1948,74,16.5,20,"Documentary",7.7,1,"Good (>7)",3.04452243772342
1936,85,15.6,5,"Action",4.6,0,"Poor (<=7)",1.79175946922805
1942,80,13.3,8,"Action",4.6,0,"Poor (<=7)",2.19722457733622
2000,6,12.5,16,"Short",8.3,1,"Good (>7)",2.83321334405622
1957,78,9.1,18,"Drama",3.9,0,"Poor (<=7)",2.94443897916644
2005,93,10.3,39,"Documentary",7.1,1,"Good (>7)",3.68887945411394
1997,78,10.5,70,"Documentary",7.6,1,"Good (>7)",4.26267987704132
1999,16,15.8,17,"Short",8,1,"Good (>7)",2.89037175789616
1987,88,14.9,6,"Comedy",7.7,1,"Good (>7)",1.94591014905531
1944,107,12.4,54,"Comedy",7.9,1,"Good (>7)",4.00733318523247
1992,107,13.9,13,"Drama",1.9,0,"Poor (<=7)",2.63905732961526
1982,97,13,10,"Drama",4.2,0,"Poor (<=7)",2.39789527279837
2000,95,15.1,59,"Action",7.8,1,"Good (>7)",4.0943445622221
1953,95,10.1,15,"Comedy",8,1,"Good (>7)",2.77258872223978
2003,135,10.6,7860,"Action",3.8,0,"Poor (<=7)",8.96966910379376
1999,100,10.3,48,"Drama",3.7,0,"Poor (<=7)",3.89182029811063
1996,112,7.1,7452,"Comedy",2.5,0,"Poor (<=7)",8.91637191488169
1940,205,8.6,28,"Action",3.6,0,"Poor (<=7)",3.36729582998647
1986,103,9.1,267,"Drama",3.3,0,"Poor (<=7)",5.59098698051086
1995,90,11.7,11,"Comedy",7.8,1,"Good (>7)",2.484906649788
1994,136,8.1,686,"Comedy",3.9,0,"Poor (<=7)",6.53233429222235
1976,96,12.2,56,"Comedy",8.2,1,"Good (>7)",4.04305126783455
1951,77,13.9,38,"Action",4.7,0,"Poor (<=7)",3.66356164612965
2002,80,10,5,"Action",2.1,0,"Poor (<=7)",1.79175946922805
1949,7,11.7,94,"Animation",8.7,1,"Good (>7)",4.55387689160054
1993,130,12.3,9,"Action",3.7,0,"Poor (<=7)",2.30258509299405
1997,86,7.6,18,"Action",3.7,0,"Poor (<=7)",2.94443897916644
1984,126,13.8,9,"Action",2.9,0,"Poor (<=7)",2.30258509299405
1987,86,11,51,"Comedy",7.5,1,"Good (>7)",3.95124371858143
1934,6,12.6,45,"Animation",8.6,1,"Good (>7)",3.8286413964891
1922,60,15.7,109,"Comedy",8,1,"Good (>7)",4.70048036579242
1956,80,14.4,211,"Comedy",8.5,1,"Good (>7)",5.35658627467201
1999,12,13,25,"Short",8.3,1,"Good (>7)",3.25809653802148
1999,56,8.7,7,"Documentary",7.4,1,"Good (>7)",2.07944154167984
1958,79,12.8,40,"Drama",4.9,0,"Poor (<=7)",3.71357206670431
2003,114,11.2,1332,"Comedy",4.4,0,"Poor (<=7)",7.19518732017871
1986,109,16.1,17,"Drama",6.4,0,"Poor (<=7)",2.89037175789616
1995,20,10.2,5,"Short",8.3,1,"Good (>7)",1.79175946922805
2003,109,15.6,190,"Comedy",3.9,0,"Poor (<=7)",5.25227342804663
2002,109,13.9,8003,"Comedy",8.5,1,"Good (>7)",8.98769669570362
1947,96,6.3,154,"Comedy",5.2,0,"Poor (<=7)",5.04342511691925
1997,120,7.7,291,"Comedy",3.6,0,"Poor (<=7)",5.67675380226828
2004,115,17.1,25,"Drama",4.2,0,"Poor (<=7)",3.25809653802148
1936,10,11.4,9,"Documentary",7.9,1,"Good (>7)",2.30258509299405
2000,86,13.9,420,"Action",3.7,0,"Poor (<=7)",6.04263283368238
2003,7,10.1,16,"Short",7.8,1,"Good (>7)",2.83321334405622
1948,70,10.3,15,"Action",3.7,0,"Poor (<=7)",2.77258872223978
1944,7,11.1,48,"Animation",8.3,1,"Good (>7)",3.89182029811063
1957,84,8.1,20,"Drama",3.5,0,"Poor (<=7)",3.04452243772342
1993,96,13.1,22118,"Action",8.2,1,"Good (>7)",10.0041922466578
1962,83,9.1,9,"Comedy",4,0,"Poor (<=7)",2.30258509299405
1998,89,9.1,242,"Comedy",5.6,0,"Poor (<=7)",5.49306144334055
1979,105,10.9,34,"Comedy",8.3,1,"Good (>7)",3.55534806148941
1971,88,11.8,123,"Comedy",4.8,0,"Poor (<=7)",4.82028156560504
1992,82,16.7,5,"Action",8.1,1,"Good (>7)",1.79175946922805
1975,180,15,13,"Action",3.2,0,"Poor (<=7)",2.63905732961526
1950,107,8.4,529,"Comedy",4.8,0,"Poor (<=7)",6.27287700654617
1993,90,18.5,116,"Action",7.7,1,"Good (>7)",4.76217393479776
2002,120,11.5,51,"Documentary",7.2,1,"Good (>7)",3.95124371858143
1996,30,13.4,12,"Animation",8.4,1,"Good (>7)",2.56494935746154
1982,75,13.2,12,"Action",3.5,0,"Poor (<=7)",2.56494935746154
1980,92,7,21,"Comedy",4.5,0,"Poor (<=7)",3.09104245335832
1953,54,14.2,6,"Action",3.4,0,"Poor (<=7)",1.94591014905531
1965,108,11.2,1414,"Comedy",7.5,1,"Good (>7)",7.25488481007734
2004,100,16.7,105,"Comedy",8.6,1,"Good (>7)",4.66343909411207
2003,83,7.2,23,"Drama",4,0,"Poor (<=7)",3.17805383034795
1945,92,14.1,37,"Drama",4.4,0,"Poor (<=7)",3.63758615972639
1997,101,17.4,422,"Comedy",8,1,"Good (>7)",6.04737217904628
1932,71,15.4,25,"Drama",3.6,0,"Poor (<=7)",3.25809653802148
1938,96,9,7,"Drama",3.8,0,"Poor (<=7)",2.07944154167984
1937,82,10.6,21,"Action",3.4,0,"Poor (<=7)",3.09104245335832
1985,92,12.4,5,"Action",2.7,0,"Poor (<=7)",1.79175946922805
2000,93,8.9,6,"Comedy",4,0,"Poor (<=7)",1.94591014905531
1954,7,7.7,77,"Animation",8.2,1,"Good (>7)",4.35670882668959
1946,98,14.2,12,"Drama",3,0,"Poor (<=7)",2.56494935746154
1999,88,13.4,2766,"Comedy",8.2,1,"Good (>7)",7.92551897978693
1959,83,11.9,6,"Drama",4.6,0,"Poor (<=7)",1.94591014905531
1947,93,14.3,9,"Action",4.6,0,"Poor (<=7)",2.30258509299405
1999,17,12.7,5,"Short",7.9,1,"Good (>7)",1.79175946922805
1985,19,8.4,6,"Short",8.1,1,"Good (>7)",1.94591014905531
2001,123,9.1,1933,"Comedy",5.9,0,"Poor (<=7)",7.56734567601324
1960,70,7.5,16,"Drama",2.7,0,"Poor (<=7)",2.83321334405622
1986,90,16.3,17,"Drama",6.1,0,"Poor (<=7)",2.89037175789616
2001,91,11.7,13,"Drama",3.1,0,"Poor (<=7)",2.63905732961526
1929,75,12.4,9,"Documentary",7.8,1,"Good (>7)",2.30258509299405
1962,85,11.1,11,"Drama",2.6,0,"Poor (<=7)",2.484906649788
1998,80,9.2,63,"Drama",3.8,0,"Poor (<=7)",4.15888308335967
1995,100,11.1,1285,"Drama",4.4,0,"Poor (<=7)",7.15929190479756
1987,90,15.3,54,"Action",3.4,0,"Poor (<=7)",4.00733318523247
1989,5,14.9,1302,"Animation",7.7,1,"Good (>7)",7.17242457712485
1943,84,9.2,57,"Action",4.8,0,"Poor (<=7)",4.06044301054642
1999,95,9.9,53,"Action",5.1,0,"Poor (<=7)",3.98898404656427
1995,108,15.7,12,"Action",3.1,0,"Poor (<=7)",2.56494935746154
2003,61,7.4,12,"Drama",3.8,0,"Poor (<=7)",2.56494935746154
1972,126,11.3,1306,"Drama",1.7,0,"Poor (<=7)",7.17548971362422
2003,19,9.6,20,"Drama",8.2,1,"Good (>7)",3.04452243772342
2001,97,16.1,81,"Drama",3.3,0,"Poor (<=7)",4.40671924726425
1991,109,14.5,218,"Comedy",8.1,1,"Good (>7)",5.3890717298165
1992,92,11.9,5,"Comedy",7.8,1,"Good (>7)",1.79175946922805
1980,91,14.6,262,"Action",4.9,0,"Poor (<=7)",5.57215403217776
1971,138,17.4,33,"Action",8.2,1,"Good (>7)",3.52636052461616
1963,110,15.8,9,"Drama",3.8,0,"Poor (<=7)",2.30258509299405
1998,54,15.9,10,"Documentary",8.7,1,"Good (>7)",2.39789527279837
1997,101,15.5,26071,"Drama",3.1,0,"Poor (<=7)",10.1686172205174
1998,89,12.5,20,"Action",3.8,0,"Poor (<=7)",3.04452243772342
1944,26,8.4,156,"Short",8.9,1,"Good (>7)",5.05624580534831
1996,75,10.6,7,"Documentary",8,1,"Good (>7)",2.07944154167984
1945,95,12.7,9,"Comedy",8.2,1,"Good (>7)",2.30258509299405
1953,65,13.6,40,"Comedy",8,1,"Good (>7)",3.71357206670431
1980,83,15.7,7,"Action",8.4,1,"Good (>7)",2.07944154167984
1990,89,13.9,157,"Comedy",8.2,1,"Good (>7)",5.06259503302697
1998,90,7.1,20,"Action",3.7,0,"Poor (<=7)",3.04452243772342
1998,58,11.6,14,"Documentary",8.1,1,"Good (>7)",2.70805020110221
1998,17,15.1,16,"Short",7.9,1,"Good (>7)",2.83321334405622
1983,93,13.7,19,"Drama",4.1,0,"Poor (<=7)",2.99573227355399
2003,85,12.8,22,"Comedy",5.9,0,"Poor (<=7)",3.13549421592915
1997,105,12.7,28,"Documentary",8.5,1,"Good (>7)",3.36729582998647
1986,96,14.2,2012,"Comedy",8,1,"Good (>7)",7.60738142563979
1950,88,15.5,61,"Drama",3.7,0,"Poor (<=7)",4.12713438504509
1967,72,6.1,28,"Comedy",8.3,1,"Good (>7)",3.36729582998647
1948,8,8.3,51,"Animation",3.6,0,"Poor (<=7)",3.95124371858143
1927,155,11.1,178,"Drama",4.7,0,"Poor (<=7)",5.18738580584075
1980,119,5.5,12,"Action",3.9,0,"Poor (<=7)",2.56494935746154
1988,83,11.8,632,"Comedy",8.6,1,"Good (>7)",6.45047042214418
1944,137,11.2,197,"Drama",4.3,0,"Poor (<=7)",5.28826703069454
1998,93,11.4,30,"Documentary",8.6,1,"Good (>7)",3.43398720448515
1998,108,9.7,48,"Drama",4.4,0,"Poor (<=7)",3.89182029811063
1959,73,12.2,8,"Action",3.5,0,"Poor (<=7)",2.19722457733622
1976,132,12.3,2118,"Action",5.2,0,"Poor (<=7)",7.6586995582683
1995,106,16.5,4089,"Comedy",7.9,1,"Good (>7)",8.31630024903685
1982,98,11.9,912,"Comedy",3.6,0,"Poor (<=7)",6.81673588059497
1971,87,16.4,90,"Drama",3.9,0,"Poor (<=7)",4.51085950651685
1998,91,11.5,82,"Drama",3.9,0,"Poor (<=7)",4.4188406077966
2004,103,14.7,15,"Comedy",8.5,1,"Good (>7)",2.77258872223978
1927,48,11.2,6,"Comedy",8.2,1,"Good (>7)",1.94591014905531
1995,86,12.9,33,"Action",5.2,0,"Poor (<=7)",3.52636052461616
1938,90,9.8,44,"Drama",3.2,0,"Poor (<=7)",3.80666248977032
1971,7,14.4,22,"Animation",7.3,1,"Good (>7)",3.13549421592915
1997,102,10.1,18,"Drama",4.5,0,"Poor (<=7)",2.94443897916644
1994,85,17.8,78,"Drama",3.5,0,"Poor (<=7)",4.36944785246702
1999,90,12.2,67,"Comedy",7.9,1,"Good (>7)",4.21950770517611
1942,100,12.4,239,"Comedy",4,0,"Poor (<=7)",5.48063892334199
1994,87,16.4,14,"Comedy",7.7,1,"Good (>7)",2.70805020110221
1987,52,6.3,22,"Drama",4.1,0,"Poor (<=7)",3.13549421592915
1995,93,9.9,35,"Drama",3.9,0,"Poor (<=7)",3.58351893845611
1942,64,10.6,94,"Action",4.8,0,"Poor (<=7)",4.55387689160054
1934,71,18.6,15,"Drama",4.1,0,"Poor (<=7)",2.77258872223978
2002,83,13.2,67,"Drama",4,0,"Poor (<=7)",4.21950770517611
2000,100,15.6,8,"Comedy",4.6,0,"Poor (<=7)",2.19722457733622
1989,75,11.5,15,"Action",4.9,0,"Poor (<=7)",2.77258872223978
1996,8,10.4,18,"Comedy",8.7,1,"Good (>7)",2.94443897916644
1958,73,14,6,"Drama",5,0,"Poor (<=7)",1.94591014905531
1971,101,10.6,58,"Comedy",3.8,0,"Poor (<=7)",4.07753744390572
1999,9,11.7,54,"Short",7.7,1,"Good (>7)",4.00733318523247
1999,99,16.4,670,"Drama",4.9,0,"Poor (<=7)",6.50876913697168
1985,97,17.8,73,"Comedy",7.8,1,"Good (>7)",4.30406509320417
1954,104,16.8,412,"Drama",3.4,0,"Poor (<=7)",6.02344759296103
1966,105,10,5,"Comedy",5.1,0,"Poor (<=7)",1.79175946922805
2000,130,16.8,1145,"Drama",4.2,0,"Poor (<=7)",7.04403289727469
1942,7,10.5,128,"Animation",8.7,1,"Good (>7)",4.85981240436167
1994,96,9.3,1222,"Comedy",4,0,"Poor (<=7)",7.10906213568717
1998,106,8.2,11,"Drama",3.8,0,"Poor (<=7)",2.484906649788
1971,120,9.1,9,"Action",5.2,0,"Poor (<=7)",2.30258509299405
1999,13,10.8,26,"Animation",4.1,0,"Poor (<=7)",3.29583686600433
1985,119,11.9,111,"Drama",3.8,0,"Poor (<=7)",4.71849887129509
2003,88,14.7,20,"Documentary",7.8,1,"Good (>7)",3.04452243772342
2005,99,16.6,9,"Documentary",8,1,"Good (>7)",2.30258509299405
